Mineral,Export,Import
Antimony,[15.06 17.87 13.08 12.63 20.26 19.32 15.94 40.9 ],[11.44  9.67  9.37  8.01 13.38 19.19 19.74 38.16]
"Beryllium,hafnium, indium,gallium,rhenium",[0.58 0.9  1.87 1.62 3.28 2.26 3.05 5.52],[24.65 35.75 19.62 17.58 29.12 71.43 76.31 76.93]
Bismuth,[0.07 0.01 0.01 0.03 0.61 0.12 0.02 0.03],[3.19 2.77 1.53 1.83 2.54 3.34 3.19 5.55]
Cobalt,[ 3.93  7.9   3.6   6.54 13.82 28.29 22.84 18.44],[ 58.99  75.8   67.25  44.77  88.49 110.5  113.18  96.1 ]
Germanium,[0. 0. 0. 0. 0. 0. 0. 0.],[0.01 0.04 0.03 0.12 0.06 0.04 0.08 0.01]
Graphite,[40.01 54.41 50.6  38.62 55.47 53.04 59.96 62.33],[120.04 129.15  95.29  97.65 144.64 185.6  165.53 146.83]
Lithium,[ 12.69  13.21  14.47  11.16  31.91 124.75 155.06  87.88],[ 779.55 1302.03 1296.81 1241.31 1892.29 2998.01 3029.96 3077.67]
Molybdenum,[ 2.97  4.08  1.87  9.58 11.19 27.94 43.97 64.77],[150.49 227.91 172.91 148.91 261.35 343.28 484.13 568.44]
Niobium,[0.   0.01 0.01 0.   0.   0.01 0.   0.  ],[3.55 3.79 0.31 0.01 0.01 0.   0.   0.  ]
Nickel,[ 1.6   2.91  1.62 13.58  1.58  1.39  0.86  0.53],[56.14 10.84  6.43  7.47  8.78 52.93 43.99 19.28]
Silicon,[ 73.83  83.55  78.11 108.24 163.31 184.64 152.37 162.  ],[269.05 327.39 281.19 260.09 401.07 480.04 418.8  477.76]
Strontium,[0.25 0.23 0.1  0.07 0.2  0.22 0.25 0.26],[3.44 4.19 4.06 4.48 3.87 9.96 6.27 6.09]
Tantalum,[0.98 1.29 0.69 0.98 1.47 2.93 3.1  2.06],[ 9.7  11.36 11.03  7.76  9.15 12.06 12.09 17.64]
Tellurium,[0.   0.01 0.   0.   0.   0.   0.   0.26],[0.21 0.45 0.33 0.29 0.25 0.26 0.55 0.54]
Tin,[11.08  9.82  9.81  9.93 19.32 11.41 17.29 22.86],[243.86 223.7  212.09 197.92 379.86 400.4  339.13 494.33]
Titanium,[144.71 145.01 131.41 118.35 159.24 172.68 149.08 139.82],[159.56 184.59 206.24 155.18 228.18 260.01 270.85 274.77]
Tungsten,[23.28 18.69 12.27 11.31 34.95 34.4  27.8  47.  ],[27.04 25.7  21.73 19.74 24.42 32.57 40.94 45.92]
Vanadium,[0.67 0.69 1.67 0.7  0.89 0.45 0.63 0.3 ],[27.87 46.84 17.46 10.24 21.4  24.   18.62 27.48]
Zirconium,[2.43 1.24 0.89 1.53 1.15 0.93 1.09 0.32],[114.6  140.84 105.7  113.58 183.02 223.67 204.2  221.8 ]
Selenium,[5.8  0.86 0.66 0.59 1.1  3.61 3.63 1.89],[ 9.09 13.49 10.    9.2   9.55  8.55 10.73 12.85]
Cadmium,[0.53 0.42 0.72 0.48 0.43 0.44 0.56 0.3 ],[14.03 27.96 28.14 20.82 19.66  2.87  6.24  9.71]
Phosphorous,[ 2.89  3.3   3.72  4.5  11.02 12.37  8.88  8.22],[0.8  0.96 0.3  0.66 0.47 0.09 0.16 0.49]
Potash,[0.7  2.6  4.02 3.24 2.73 3.79 1.8  2.41],[12.25 15.17  9.34 10.77 15.66 32.88 30.73 22.32]
Rare earth metals,[18.33 22.39 18.4  26.91 57.09 67.82 48.25 36.03],[17.01 18.51 17.19 23.52 23.32 21.01 18.56 21.12]
Copper,[3481.36 1067.35  919.05 1444.11 2429.56 1848.54 2526.23 2320.58],[ 4575.12  5346.72  5147.09  4665.36  7114.07  7688.41  9294.75 10806.22]
